"Notes"	"Residence State"	"Residence State Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alaska"	"02"	"Feb., 2022"	"2022/02"	459	Not Applicable	Not Applicable
	"Alaska"	"02"	"Mar., 2022"	"2022/03"	473	Not Applicable	Not Applicable
	"Alaska"	"02"	"Apr., 2022"	"2022/04"	440	Not Applicable	Not Applicable
	"Alaska"	"02"	"May, 2022"	"2022/05"	437	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jun., 2022"	"2022/06"	468	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jul., 2022"	"2022/07"	490	Not Applicable	Not Applicable
	"Alaska"	"02"	"Aug., 2022"	"2022/08"	456	Not Applicable	Not Applicable
	"Alaska"	"02"	"Sep., 2022"	"2022/09"	454	Not Applicable	Not Applicable
	"Alaska"	"02"	"Oct., 2022"	"2022/10"	476	Not Applicable	Not Applicable
	"Alaska"	"02"	"Nov., 2022"	"2022/11"	453	Not Applicable	Not Applicable
	"Alaska"	"02"	"Dec., 2022"	"2022/12"	562	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jan., 2023"	"2023/01"	517	Not Applicable	Not Applicable
	"Alaska"	"02"	"Feb., 2023"	"2023/02"	439	Not Applicable	Not Applicable
	"Alaska"	"02"	"Mar., 2023"	"2023/03"	464	Not Applicable	Not Applicable
	"Alaska"	"02"	"Apr., 2023"	"2023/04"	456	Not Applicable	Not Applicable
	"Alaska"	"02"	"May, 2023"	"2023/05"	432	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jun., 2023"	"2023/06"	436	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jul., 2023"	"2023/07"	405	Not Applicable	Not Applicable
	"Alaska"	"02"	"Aug., 2023"	"2023/08"	429	Not Applicable	Not Applicable
	"Alaska"	"02"	"Sep., 2023"	"2023/09"	476	Not Applicable	Not Applicable
	"Alaska"	"02"	"Oct., 2023"	"2023/10"	477	Not Applicable	Not Applicable
	"Alaska"	"02"	"Nov., 2023"	"2023/11"	502	Not Applicable	Not Applicable
	"Alaska"	"02"	"Dec., 2023"	"2023/12"	496	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jan., 2024 (provisional)"	"2024/01"	521	Not Applicable	Not Applicable
	"Alaska"	"02"	"Feb., 2024 (provisional)"	"2024/02"	503	Not Applicable	Not Applicable
	"Alaska"	"02"	"Mar., 2024 (provisional)"	"2024/03"	464	Not Applicable	Not Applicable
	"Alaska"	"02"	"Apr., 2024 (provisional)"	"2024/04"	443	Not Applicable	Not Applicable
	"Alaska"	"02"	"May, 2024 (provisional)"	"2024/05"	468	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jun., 2024 (provisional)"	"2024/06"	425	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jul., 2024 (provisional)"	"2024/07"	435	Not Applicable	Not Applicable
	"Alaska"	"02"	"Aug., 2024 (provisional)"	"2024/08"	439	Not Applicable	Not Applicable
	"Alaska"	"02"	"Sep., 2024 (provisional)"	"2024/09"	439	Not Applicable	Not Applicable
	"Alaska"	"02"	"Oct., 2024 (provisional)"	"2024/10"	468	Not Applicable	Not Applicable
	"Alaska"	"02"	"Nov., 2024 (provisional)"	"2024/11"	439	Not Applicable	Not Applicable
	"Alaska"	"02"	"Dec., 2024 (provisional)"	"2024/12"	406	Not Applicable	Not Applicable
"Total"	"Alaska"	"02"			16698	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jan., 2022"	"2022/01"	8350	Not Applicable	Not Applicable
	"Arizona"	"04"	"Feb., 2022"	"2022/02"	6661	Not Applicable	Not Applicable
	"Arizona"	"04"	"Mar., 2022"	"2022/03"	6172	Not Applicable	Not Applicable
	"Arizona"	"04"	"Apr., 2022"	"2022/04"	5552	Not Applicable	Not Applicable
	"Arizona"	"04"	"May, 2022"	"2022/05"	5782	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jun., 2022"	"2022/06"	5608	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jul., 2022"	"2022/07"	6098	Not Applicable	Not Applicable
	"Arizona"	"04"	"Aug., 2022"	"2022/08"	5708	Not Applicable	Not Applicable
	"Arizona"	"04"	"Sep., 2022"	"2022/09"	5507	Not Applicable	Not Applicable
	"Arizona"	"04"	"Oct., 2022"	"2022/10"	5675	Not Applicable	Not Applicable
	"Arizona"	"04"	"Nov., 2022"	"2022/11"	6159	Not Applicable	Not Applicable
	"Arizona"	"04"	"Dec., 2022"	"2022/12"	6810	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jan., 2023"	"2023/01"	6396	Not Applicable	Not Applicable
	"Arizona"	"04"	"Feb., 2023"	"2023/02"	5643	Not Applicable	Not Applicable
	"Arizona"	"04"	"Mar., 2023"	"2023/03"	6056	Not Applicable	Not Applicable
	"Arizona"	"04"	"Apr., 2023"	"2023/04"	5943	Not Applicable	Not Applicable
	"Arizona"	"04"	"May, 2023"	"2023/05"	5687	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jun., 2023"	"2023/06"	5349	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jul., 2023"	"2023/07"	5944	Not Applicable	Not Applicable
	"Arizona"	"04"	"Aug., 2023"	"2023/08"	5578	Not Applicable	Not Applicable
	"Arizona"	"04"	"Sep., 2023"	"2023/09"	5252	Not Applicable	Not Applicable
	"Arizona"	"04"	"Oct., 2023"	"2023/10"	5645	Not Applicable	Not Applicable
	"Arizona"	"04"	"Nov., 2023"	"2023/11"	5602	Not Applicable	Not Applicable
	"Arizona"	"04"	"Dec., 2023"	"2023/12"	6240	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jan., 2024 (provisional)"	"2024/01"	6707	Not Applicable	Not Applicable
	"Arizona"	"04"	"Feb., 2024 (provisional)"	"2024/02"	5574	Not Applicable	Not Applicable
	"Arizona"	"04"	"Mar., 2024 (provisional)"	"2024/03"	5900	Not Applicable	Not Applicable
	"Arizona"	"04"	"Apr., 2024 (provisional)"	"2024/04"	5681	Not Applicable	Not Applicable
	"Arizona"	"04"	"May, 2024 (provisional)"	"2024/05"	5874	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jun., 2024 (provisional)"	"2024/06"	5615	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jul., 2024 (provisional)"	"2024/07"	5969	Not Applicable	Not Applicable
	"Arizona"	"04"	"Aug., 2024 (provisional)"	"2024/08"	5626	Not Applicable	Not Applicable
	"Arizona"	"04"	"Sep., 2024 (provisional)"	"2024/09"	5451	Not Applicable	Not Applicable
	"Arizona"	"04"	"Oct., 2024 (provisional)"	"2024/10"	5760	Not Applicable	Not Applicable
	"Arizona"	"04"	"Nov., 2024 (provisional)"	"2024/11"	5869	Not Applicable	Not Applicable
	"Arizona"	"04"	"Dec., 2024 (provisional)"	"2024/12"	6383	Not Applicable	Not Applicable
"Total"	"Arizona"	"04"			213826	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jan., 2022"	"2022/01"	3988	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Feb., 2022"	"2022/02"	3553	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Mar., 2022"	"2022/03"	3195	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Apr., 2022"	"2022/04"	2814	Not Applicable	Not Applicable
	"Arkansas"	"05"	"May, 2022"	"2022/05"	2949	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jun., 2022"	"2022/06"	2876	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jul., 2022"	"2022/07"	2933	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Aug., 2022"	"2022/08"	2960	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Sep., 2022"	"2022/09"	2968	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Oct., 2022"	"2022/10"	3101	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Nov., 2022"	"2022/11"	3077	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Dec., 2022"	"2022/12"	3441	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jan., 2023"	"2023/01"	3363	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Feb., 2023"	"2023/02"	2862	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Mar., 2023"	"2023/03"	3105	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Apr., 2023"	"2023/04"	2887	Not Applicable	Not Applicable
	"Arkansas"	"05"	"May, 2023"	"2023/05"	2905	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jun., 2023"	"2023/06"	2772	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jul., 2023"	"2023/07"	2914	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Aug., 2023"	"2023/08"	2895	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Sep., 2023"	"2023/09"	2910	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Oct., 2023"	"2023/10"	3052	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Nov., 2023"	"2023/11"	2850	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Dec., 2023"	"2023/12"	3243	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jan., 2024 (provisional)"	"2024/01"	3428	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Feb., 2024 (provisional)"	"2024/02"	3054	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Mar., 2024 (provisional)"	"2024/03"	3094	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Apr., 2024 (provisional)"	"2024/04"	2887	Not Applicable	Not Applicable
	"Arkansas"	"05"	"May, 2024 (provisional)"	"2024/05"	2860	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jun., 2024 (provisional)"	"2024/06"	2883	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jul., 2024 (provisional)"	"2024/07"	2866	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Aug., 2024 (provisional)"	"2024/08"	2926	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Sep., 2024 (provisional)"	"2024/09"	2942	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Oct., 2024 (provisional)"	"2024/10"	2937	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Nov., 2024 (provisional)"	"2024/11"	2837	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Dec., 2024 (provisional)"	"2024/12"	3125	Not Applicable	Not Applicable
"Total"	"Arkansas"	"05"			109452	Not Applicable	Not Applicable
	"California"	"06"	"Jan., 2022"	"2022/01"	34717	Not Applicable	Not Applicable
	"California"	"06"	"Feb., 2022"	"2022/02"	28407	Not Applicable	Not Applicable
	"California"	"06"	"Mar., 2022"	"2022/03"	25364	Not Applicable	Not Applicable
	"California"	"06"	"Apr., 2022"	"2022/04"	23088	Not Applicable	Not Applicable
	"California"	"06"	"May, 2022"	"2022/05"	23999	Not Applicable	Not Applicable
	"California"	"06"	"Jun., 2022"	"2022/06"	23771	Not Applicable	Not Applicable
	"California"	"06"	"Jul., 2022"	"2022/07"	25174	Not Applicable	Not Applicable
	"California"	"06"	"Aug., 2022"	"2022/08"	24957	Not Applicable	Not Applicable
	"California"	"06"	"Sep., 2022"	"2022/09"	24211	Not Applicable	Not Applicable
	"California"	"06"	"Oct., 2022"	"2022/10"	23889	Not Applicable	Not Applicable
	"California"	"06"	"Nov., 2022"	"2022/11"	25753	Not Applicable	Not Applicable
	"California"	"06"	"Dec., 2022"	"2022/12"	29831	Not Applicable	Not Applicable
	"California"	"06"	"Jan., 2023"	"2023/01"	27971	Not Applicable	Not Applicable
	"California"	"06"	"Feb., 2023"	"2023/02"	24521	Not Applicable	Not Applicable
	"California"	"06"	"Mar., 2023"	"2023/03"	26390	Not Applicable	Not Applicable
	"California"	"06"	"Apr., 2023"	"2023/04"	24277	Not Applicable	Not Applicable
	"California"	"06"	"May, 2023"	"2023/05"	23763	Not Applicable	Not Applicable
	"California"	"06"	"Jun., 2023"	"2023/06"	22853	Not Applicable	Not Applicable
	"California"	"06"	"Jul., 2023"	"2023/07"	23342	Not Applicable	Not Applicable
	"California"	"06"	"Aug., 2023"	"2023/08"	23482	Not Applicable	Not Applicable
	"California"	"06"	"Sep., 2023"	"2023/09"	22820	Not Applicable	Not Applicable
	"California"	"06"	"Oct., 2023"	"2023/10"	23865	Not Applicable	Not Applicable
	"California"	"06"	"Nov., 2023"	"2023/11"	24363	Not Applicable	Not Applicable
	"California"	"06"	"Dec., 2023"	"2023/12"	27088	Not Applicable	Not Applicable
	"California"	"06"	"Jan., 2024 (provisional)"	"2024/01"	27424	Not Applicable	Not Applicable
	"California"	"06"	"Feb., 2024 (provisional)"	"2024/02"	23459	Not Applicable	Not Applicable
	"California"	"06"	"Mar., 2024 (provisional)"	"2024/03"	24295	Not Applicable	Not Applicable
	"California"	"06"	"Apr., 2024 (provisional)"	"2024/04"	23378	Not Applicable	Not Applicable
	"California"	"06"	"May, 2024 (provisional)"	"2024/05"	23637	Not Applicable	Not Applicable
	"California"	"06"	"Jun., 2024 (provisional)"	"2024/06"	23103	Not Applicable	Not Applicable
	"California"	"06"	"Jul., 2024 (provisional)"	"2024/07"	23801	Not Applicable	Not Applicable
	"California"	"06"	"Aug., 2024 (provisional)"	"2024/08"	23338	Not Applicable	Not Applicable
	"California"	"06"	"Sep., 2024 (provisional)"	"2024/09"	22337	Not Applicable	Not Applicable
	"California"	"06"	"Oct., 2024 (provisional)"	"2024/10"	23139	Not Applicable	Not Applicable
	"California"	"06"	"Nov., 2024 (provisional)"	"2024/11"	23780	Not Applicable	Not Applicable
	"California"	"06"	"Dec., 2024 (provisional)"	"2024/12"	25707	Not Applicable	Not Applicable
"Total"	"California"	"06"			895294	Not Applicable	Not Applicable
	"Colorado"	"08"	"Jan., 2022"	"2022/01"	5131	Not Applicable	Not Applicable
	"Colorado"	"08"	"Feb., 2022"	"2022/02"	3865	Not Applicable	Not Applicable
	"Colorado"	"08"	"Mar., 2022"	"2022/03"	3851	Not Applicable	Not Applicable
	"Colorado"	"08"	"Apr., 2022"	"2022/04"	3606	Not Applicable	Not Applicable
	"Colorado"	"08"	"May, 2022"	"2022/05"	3788	Not Applicable	Not Applicable
	"Colorado"	"08"	"Jun., 2022"	"2022/06"	3659	Not Applicable	Not Applicable
	"Colorado"	"08"	"Jul., 2022"	"2022/07"	3694	Not Applicable	Not Applicable
	"Colorado"	"08"	"Aug., 2022"	"2022/08"	3542	Not Applicable	Not Applicable
	"Colorado"	"08"	"Sep., 2022"	"2022/09"	3585	Not Applicable	Not Applicable
	"Colorado"	"08"	"Oct., 2022"	"2022/10"	3734	Not Applicable	Not Applicable
	"Colorado"	"08"	"Nov., 2022"	"2022/11"	3969	Not Applicable	Not Applicable
	"Colorado"	"08"	"Dec., 2022"	"2022/12"	4363	Not Applicable	Not Applicable
	"Colorado"	"08"	"Jan., 2023"	"2023/01"	4035	Not Applicable	Not Applicable
	"Colorado"	"08"	"Feb., 2023"	"2023/02"	3549	Not Applicable	Not Applicable
	"Colorado"	"08"	"Mar., 2023"	"2023/03"	3850	Not Applicable	Not Applicable
	"Colorado"	"08"	"Apr., 2023"	"2023/04"	3818	Not Applicable	Not Applicable
	"Colorado"	"08"	"May, 2023"	"2023/05"	3683	Not Applicable	Not Applicable
	"Colorado"	"08"	"Jun., 2023"	"2023/06"	3493	Not Applicable	Not Applicable
	"Colorado"	"08"	"Jul., 2023"	"2023/07"	3536	Not Applicable	Not Applicable
	"Colorado"	"08"	"Aug., 2023"	"2023/08"	3645	Not Applicable	Not Applicable
	"Colorado"	"08"	"Sep., 2023"	"2023/09"	3629	Not Applicable	Not Applicable
	"Colorado"	"08"	"Oct., 2023"	"2023/10"	3863	Not Applicable	Not Applicable
	"Colorado"	"08"	"Nov., 2023"	"2023/11"	3779	Not Applicable	Not Applicable
	"Colorado"	"08"	"Dec., 2023"	"2023/12"	4091	Not Applicable	Not Applicable
	"Colorado"	"08"	"Jan., 2024 (provisional)"	"2024/01"	4065	Not Applicable	Not Applicable
	"Colorado"	"08"	"Feb., 2024 (provisional)"	"2024/02"	3575	Not Applicable	Not Applicable
	"Colorado"	"08"	"Mar., 2024 (provisional)"	"2024/03"	3794	Not Applicable	Not Applicable
	"Colorado"	"08"	"Apr., 2024 (provisional)"	"2024/04"	3750	Not Applicable	Not Applicable
	"Colorado"	"08"	"May, 2024 (provisional)"	"2024/05"	3752	Not Applicable	Not Applicable
	"Colorado"	"08"	"Jun., 2024 (provisional)"	"2024/06"	3535	Not Applicable	Not Applicable
	"Colorado"	"08"	"Jul., 2024 (provisional)"	"2024/07"	3533	Not Applicable	Not Applicable
	"Colorado"	"08"	"Aug., 2024 (provisional)"	"2024/08"	3542	Not Applicable	Not Applicable
	"Colorado"	"08"	"Sep., 2024 (provisional)"	"2024/09"	3414	Not Applicable	Not Applicable
	"Colorado"	"08"	"Oct., 2024 (provisional)"	"2024/10"	3755	Not Applicable	Not Applicable
	"Colorado"	"08"	"Nov., 2024 (provisional)"	"2024/11"	3717	Not Applicable	Not Applicable
	"Colorado"	"08"	"Dec., 2024 (provisional)"	"2024/12"	4039	Not Applicable	Not Applicable
"Total"	"Colorado"	"08"			136229	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Jan., 2022"	"2022/01"	3994	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Feb., 2022"	"2022/02"	2951	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Mar., 2022"	"2022/03"	2748	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Apr., 2022"	"2022/04"	2671	Not Applicable	Not Applicable
	"Connecticut"	"09"	"May, 2022"	"2022/05"	2812	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Jun., 2022"	"2022/06"	2562	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Jul., 2022"	"2022/07"	2703	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Aug., 2022"	"2022/08"	2578	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Sep., 2022"	"2022/09"	2531	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Oct., 2022"	"2022/10"	2847	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Nov., 2022"	"2022/11"	2884	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Dec., 2022"	"2022/12"	3302	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Jan., 2023"	"2023/01"	3080	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Feb., 2023"	"2023/02"	2688	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Mar., 2023"	"2023/03"	2724	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Apr., 2023"	"2023/04"	2601	Not Applicable	Not Applicable
	"Connecticut"	"09"	"May, 2023"	"2023/05"	2617	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Jun., 2023"	"2023/06"	2452	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Jul., 2023"	"2023/07"	2577	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Aug., 2023"	"2023/08"	2617	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Sep., 2023"	"2023/09"	2605	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Oct., 2023"	"2023/10"	2831	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Nov., 2023"	"2023/11"	2780	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Dec., 2023"	"2023/12"	2950	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Jan., 2024 (provisional)"	"2024/01"	3080	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Feb., 2024 (provisional)"	"2024/02"	2717	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Mar., 2024 (provisional)"	"2024/03"	2903	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Apr., 2024 (provisional)"	"2024/04"	2706	Not Applicable	Not Applicable
	"Connecticut"	"09"	"May, 2024 (provisional)"	"2024/05"	2605	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Jun., 2024 (provisional)"	"2024/06"	2525	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Jul., 2024 (provisional)"	"2024/07"	2558	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Aug., 2024 (provisional)"	"2024/08"	2677	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Sep., 2024 (provisional)"	"2024/09"	2503	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Oct., 2024 (provisional)"	"2024/10"	2672	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Nov., 2024 (provisional)"	"2024/11"	2653	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Dec., 2024 (provisional)"	"2024/12"	2848	Not Applicable	Not Applicable
"Total"	"Connecticut"	"09"			99552	Not Applicable	Not Applicable
	"Delaware"	"10"	"Jan., 2022"	"2022/01"	1322	Not Applicable	Not Applicable
	"Delaware"	"10"	"Feb., 2022"	"2022/02"	992	Not Applicable	Not Applicable
	"Delaware"	"10"	"Mar., 2022"	"2022/03"	918	Not Applicable	Not Applicable
	"Delaware"	"10"	"Apr., 2022"	"2022/04"	887	Not Applicable	Not Applicable
	"Delaware"	"10"	"May, 2022"	"2022/05"	886	Not Applicable	Not Applicable
	"Delaware"	"10"	"Jun., 2022"	"2022/06"	826	Not Applicable	Not Applicable
	"Delaware"	"10"	"Jul., 2022"	"2022/07"	915	Not Applicable	Not Applicable
	"Delaware"	"10"	"Aug., 2022"	"2022/08"	833	Not Applicable	Not Applicable
	"Delaware"	"10"	"Sep., 2022"	"2022/09"	845	Not Applicable	Not Applicable
	"Delaware"	"10"	"Oct., 2022"	"2022/10"	951	Not Applicable	Not Applicable
	"Delaware"	"10"	"Nov., 2022"	"2022/11"	923	Not Applicable	Not Applicable
	"Delaware"	"10"	"Dec., 2022"	"2022/12"	1053	Not Applicable	Not Applicable
	"Delaware"	"10"	"Jan., 2023"	"2023/01"	999	Not Applicable	Not Applicable
	"Delaware"	"10"	"Feb., 2023"	"2023/02"	881	Not Applicable	Not Applicable
	"Delaware"	"10"	"Mar., 2023"	"2023/03"	967	Not Applicable	Not Applicable
	"Delaware"	"10"	"Apr., 2023"	"2023/04"	908	Not Applicable	Not Applicable
	"Delaware"	"10"	"May, 2023"	"2023/05"	827	Not Applicable	Not Applicable
	"Delaware"	"10"	"Jun., 2023"	"2023/06"	848	Not Applicable	Not Applicable
	"Delaware"	"10"	"Jul., 2023"	"2023/07"	849	Not Applicable	Not Applicable
	"Delaware"	"10"	"Aug., 2023"	"2023/08"	790	Not Applicable	Not Applicable
	"Delaware"	"10"	"Sep., 2023"	"2023/09"	812	Not Applicable	Not Applicable
	"Delaware"	"10"	"Oct., 2023"	"2023/10"	897	Not Applicable	Not Applicable
	"Delaware"	"10"	"Nov., 2023"	"2023/11"	885	Not Applicable	Not Applicable
	"Delaware"	"10"	"Dec., 2023"	"2023/12"	986	Not Applicable	Not Applicable
	"Delaware"	"10"	"Jan., 2024 (provisional)"	"2024/01"	1038	Not Applicable	Not Applicable
	"Delaware"	"10"	"Feb., 2024 (provisional)"	"2024/02"	874	Not Applicable	Not Applicable
	"Delaware"	"10"	"Mar., 2024 (provisional)"	"2024/03"	896	Not Applicable	Not Applicable
	"Delaware"	"10"	"Apr., 2024 (provisional)"	"2024/04"	868	Not Applicable	Not Applicable
	"Delaware"	"10"	"May, 2024 (provisional)"	"2024/05"	849	Not Applicable	Not Applicable
	"Delaware"	"10"	"Jun., 2024 (provisional)"	"2024/06"	850	Not Applicable	Not Applicable
	"Delaware"	"10"	"Jul., 2024 (provisional)"	"2024/07"	815	Not Applicable	Not Applicable
	"Delaware"	"10"	"Aug., 2024 (provisional)"	"2024/08"	859	Not Applicable	Not Applicable
	"Delaware"	"10"	"Sep., 2024 (provisional)"	"2024/09"	823	Not Applicable	Not Applicable
	"Delaware"	"10"	"Oct., 2024 (provisional)"	"2024/10"	903	Not Applicable	Not Applicable
	"Delaware"	"10"	"Nov., 2024 (provisional)"	"2024/11"	888	Not Applicable	Not Applicable
	"Delaware"	"10"	"Dec., 2024 (provisional)"	"2024/12"	949	Not Applicable	Not Applicable
